family,seed,variant,variant_label,country,contrast_country,topic,exact_pair,margin_switch,target_margin,contrast_margin
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",United States,United Kingdom,Civic institutions,0.0,0.0,5.243557744412906,-5.243557744412906
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Malaysia,United Kingdom,Civic institutions,0.0,0.0,2.3864853865045985,-2.3864853865045985
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Sri Lanka,India,Sports,0.0,0.0,-2.729515157574716,2.729515157574716
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",United Kingdom,United States,Geography and infrastructure,0.0,0.0,1.5501777992722827,-1.5501777992722827
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",United States,United Kingdom,Politics and government,0.0,0.0,-1.5952726520169254,1.5952726520169254
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Ireland,United Kingdom,Civic institutions,0.0,0.0,0.9635155354091376,-0.9635155354091376
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Nigeria,United Kingdom,Civic institutions,0.0,0.0,-1.487947593907359,1.487947593907359
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Kenya,United Kingdom,Civic institutions,0.0,0.0,-1.001874435149479,1.001874435149479
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Kenya,United Kingdom,Civic institutions,0.0,0.0,-0.7498117488196279,0.7498117488196279
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",India,United Kingdom,Politics and government,0.0,0.0,0.5998594263432091,-0.5998594263432091
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Sri Lanka,India,Civic institutions,0.0,0.0,-2.0759630251576064,2.0759630251576064
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",South Africa,United Kingdom,Politics and government,0.0,0.0,-0.5484237955561397,0.5484237955561397
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",United Kingdom,United States,Sports,0.0,0.0,0.8778384429103925,-0.8778384429103925
